POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Yuzvendra Chahal,15,15,48.5,514,28,3/12,18.36,7.53,10.46,1,1
2,Mohammed Shami,16,16,55.5,340,28,5/17,12.14,7.23,11.96,1,0
3,Harshal Patel,16,15,49.1,326,26,4/14,12.54,7.61,11.35,1,0
4,Jasprit Bumrah,17,17,68.4,481,22,3/25,21.86,6.65,18.73,0,0
5,Rashid Khan,14,14,55.2,475,20,3/23,23.75,7.55,16.6,2,0
6,Arshdeep Singh,14,13,44.2,515,20,4/23,25.75,7.9,13.3,1,0
7,Kagiso Rabada,15,15,58.0,403,20,3/31,20.15,8.88,17.4,0,0
8,Sunil Narine,16,15,55.4,369,18,3/29,20.5,8.29,18.56,0,0
9,Avesh Khan,16,16,62.0,466,16,5/34,29.12,9.08,23.25,2,0
10,Ravindra Jadeja,14,13,44.4,375,16,4/16,23.44,8.61,16.75,2,0
11,Mohit Sharma,15,15,52.4,510,16,3/19,31.88,8.15,19.75,0,0
12,Wanindu Hasaranga,15,15,47.3,383,15,3/16,25.53,8.02,19.0,1,1
13,Varun Chakravarthy,14,13,42.3,472,15,3/18,31.47,7.84,17.0,1,0
14,Mitchell Starc,14,14,48.0,329,14,5/13,23.5,9.36,20.57,0,1
15,Kuldeep Yadav,15,14,47.3,367,13,3/26,28.23,9.11,21.92,1,0
16,Ravi Bishnoi,14,13,45.3,429,13,3/15,33.0,9.31,21.0,0,0
17,Bhuvneshwar Kumar,16,15,50.3,450,12,4/32,37.5,7.81,25.25,0,1
18,Piyush Chawla,17,17,57.0,418,11,4/28,38.0,7.83,31.09,0,1
19,T Natarajan,14,13,47.1,366,11,3/28,33.27,7.86,25.73,1,0
20,Trent Boult,17,16,65.5,497,10,3/29,49.7,9.24,39.5,0,0
21,Axar Patel,14,14,49.2,474,10,5/32,47.4,9.37,29.6,1,1
