POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Jasprit Bumrah,17,16,56.3,493,30,5/33,16.43,6.98,11.3,2,1
2,Yuzvendra Chahal,14,14,44.1,506,29,4/17,17.45,6.61,9.14,1,1
3,Harshal Patel,14,14,48.4,321,28,5/14,11.46,7.65,10.43,0,0
4,Mohammed Shami,17,17,55.0,516,27,4/31,19.11,6.77,12.22,1,0
5,Rashid Khan,17,16,51.0,428,20,5/26,21.4,7.33,15.3,0,0
6,Arshdeep Singh,17,17,67.4,439,20,3/17,21.95,8.45,20.3,1,0
7,Mohit Sharma,16,16,50.3,519,19,4/32,27.32,8.68,15.95,1,0
8,Varun Chakravarthy,17,17,61.5,504,19,3/27,26.53,8.33,19.53,0,0
9,Axar Patel,17,16,64.4,471,19,3/15,24.79,8.23,20.42,1,0
10,Ravi Bishnoi,17,16,61.4,461,19,5/30,24.26,8.93,19.47,2,1
11,Piyush Chawla,15,14,58.4,349,18,3/25,19.39,8.74,19.56,1,0
12,Wanindu Hasaranga,16,15,50.5,425,16,4/24,26.56,8.25,19.06,1,0
13,Ravindra Jadeja,16,16,60.0,494,16,5/33,30.88,8.34,22.5,2,0
14,Kuldeep Yadav,14,13,50.2,365,15,3/31,24.33,7.97,20.13,0,0
15,Kagiso Rabada,14,14,48.1,361,15,4/12,24.07,9.28,19.27,2,0
16,Sunil Narine,15,15,48.4,332,14,5/31,23.71,8.74,20.86,1,0
17,Avesh Khan,14,14,47.5,320,14,3/32,22.86,9.45,20.5,2,1
18,T Natarajan,17,17,60.3,468,13,3/17,36.0,8.32,27.92,0,1
19,Trent Boult,16,15,57.5,426,13,3/29,32.77,7.99,26.69,1,0
20,Bhuvneshwar Kumar,15,15,47.1,369,13,3/31,28.38,8.5,21.77,2,0
21,Mitchell Starc,15,15,46.5,459,12,5/34,38.25,9.05,23.42,1,1
