POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Mohammed Shami,15,14,50.2,375,30,3/32,12.5,7.03,10.07,2,0
2,Yuzvendra Chahal,14,13,55.4,395,29,4/23,13.62,7.22,11.52,1,0
3,Jasprit Bumrah,17,17,54.3,335,29,3/19,11.55,6.87,11.28,2,0
4,Rashid Khan,14,14,44.2,321,27,4/15,11.89,7.6,9.85,0,0
5,Harshal Patel,17,16,63.3,399,24,3/24,16.62,7.28,15.88,0,1
6,Mitchell Starc,16,16,54.2,357,20,4/31,17.85,7.89,16.3,2,0
7,Mohit Sharma,16,15,61.0,517,19,5/12,27.21,8.16,19.26,1,0
8,Avesh Khan,17,17,56.0,382,17,4/17,22.47,7.95,19.76,0,0
9,T Natarajan,17,16,54.3,439,17,5/26,25.82,8.87,19.24,2,1
10,Varun Chakravarthy,15,15,51.3,404,17,3/35,23.76,8.14,18.18,2,0
11,Bhuvneshwar Kumar,15,14,54.5,412,17,3/31,24.24,8.3,19.35,2,0
12,Ravi Bishnoi,16,16,54.5,445,16,3/21,27.81,9.49,20.56,0,1
13,Arshdeep Singh,15,14,49.4,513,16,3/23,32.06,8.21,18.62,2,0
14,Piyush Chawla,17,16,52.5,517,15,5/22,34.47,8.32,21.13,0,0
15,Ravindra Jadeja,17,16,52.5,433,15,4/16,28.87,8.8,21.13,0,1
16,Sunil Narine,16,16,58.4,456,13,5/20,35.08,8.65,27.08,0,0
17,Kuldeep Yadav,14,13,51.1,420,13,3/34,32.31,7.9,23.62,2,0
18,Wanindu Hasaranga,15,15,60.4,322,12,5/17,26.83,8.34,30.33,2,0
19,Trent Boult,14,14,52.1,377,12,4/31,31.42,8.39,26.08,0,0
20,Kagiso Rabada,14,14,42.4,370,11,3/34,33.64,8.88,23.27,1,0
21,Axar Patel,15,15,60.5,372,10,5/27,37.2,8.94,36.5,1,0
