season,match_number,date,venue,team1,team2,winner,result_type,youtube_url,video_verified
2011,45,2011-05-05,Nehru Stadium,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,complete,,false
2011,46,2011-05-05,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,complete,,false
2011,47,2011-05-06,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,complete,,false
2011,48,2011-05-07,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,complete,,false
2011,49,2011-05-07,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,complete,,false
2011,50,2011-05-08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,complete,,false
2011,51,2011-05-08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Pune Warriors,Pune Warriors,complete,,false
2011,52,2011-05-09,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,complete,,false
2011,53,2011-05-10,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Pune Warriors,Pune Warriors,complete,,false
2011,54,2011-05-10,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,complete,,false
2011,55,2011-05-11,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2011,56,2011-05-12,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,complete,,false
2011,57,2011-05-13,Holkar Cricket Stadium,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,complete,https://www.youtube.com/watch?v=12tIsBCSA-A,true
2011,58,2011-05-14,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,complete,,false
2011,59,2011-05-14,Wankhede Stadium,Mumbai Indians,Deccan Chargers,Deccan Chargers,complete,,false
2011,60,2011-05-15,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,complete,,false
2011,61,2011-05-15,Holkar Cricket Stadium,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,complete,,false
2011,62,2011-05-16,Dr DY Patil Sports Academy,Pune Warriors,Deccan Chargers,Deccan Chargers,complete,,false
2011,63,2011-05-17,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,complete,,false
2011,64,2011-05-18,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,complete,,false
2011,65,2011-05-19,Dr DY Patil Sports Academy,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2011,66,2011-05-20,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,complete,,false
2011,67,2011-05-21,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Deccan Chargers,Deccan Chargers,complete,,false
2011,68,2011-05-21,Feroz Shah Kotla,Delhi Daredevils,Pune Warriors,None,no result,,false
2011,69,2011-05-22,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,complete,,false
2011,70,2011-05-22,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,complete,,false
2011,N/A,2011-05-24,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,complete,,false
2011,N/A,2011-05-25,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,complete,,false
2011,N/A,2011-05-27,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,complete,,false
2011,N/A,2011-05-28,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,complete,,false
2012,1,2012-04-04,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,complete,,false
2012,2,2012-04-05,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,complete,,false
2012,3,2012-04-06,Wankhede Stadium,Mumbai Indians,Pune Warriors,Pune Warriors,complete,,false
2012,4,2012-04-06,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,complete,,false
2012,5,2012-04-07,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,complete,,false
2012,6,2012-04-07,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,complete,,false
2012,7,2012-04-08,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,complete,,false
2012,8,2012-04-08,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Pune Warriors,complete,,false
2012,9,2012-04-09,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Mumbai Indians,Mumbai Indians,complete,,false
2012,10,2012-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,complete,https://www.youtube.com/watch?v=wVmFmcdSevU,true
2012,11,2012-04-10,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,complete,,false
2012,12,2012-04-11,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,complete,,false
2012,13,2012-04-12,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,complete,,false
2012,14,2012-04-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Pune Warriors,Kings XI Punjab,complete,,false
2012,15,2012-04-13,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,complete,,false
2012,16,2012-04-14,Subrata Roy Sahara Stadium,Pune Warriors,Chennai Super Kings,Pune Warriors,complete,,false
2012,17,2012-04-15,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,complete,,false
2012,18,2012-04-15,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,complete,,false
2012,19,2012-04-16,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,complete,,false
2012,20,2012-04-17,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,complete,,false
2012,21,2012-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,complete,,false
2012,22,2012-04-18,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,23,2012-04-19,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,complete,,false
2012,24,2012-04-19,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,Chennai Super Kings,complete,,false
2012,25,2012-04-20,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2012,26,2012-04-21,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,complete,,false
2012,27,2012-04-21,Feroz Shah Kotla,Delhi Daredevils,Pune Warriors,Pune Warriors,complete,,false
2012,28,2012-04-22,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,complete,,false
2012,29,2012-04-22,Barabati Stadium,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,30,2012-04-23,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2012,31,2012-04-24,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils,Delhi Daredevils,complete,,false
2012,33,2012-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,complete,,false
2012,35,2012-04-26,Subrata Roy Sahara Stadium,Pune Warriors,Deccan Chargers,Deccan Chargers,complete,,false
2012,36,2012-04-27,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,complete,,false
2012,37,2012-04-28,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,complete,,false
2012,38,2012-04-28,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,complete,,false
2012,39,2012-04-29,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,complete,,false
2012,40,2012-04-29,Wankhede Stadium,Mumbai Indians,Deccan Chargers,Mumbai Indians,complete,,false
2012,41,2012-04-30,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,42,2012-05-01,Barabati Stadium,Deccan Chargers,Pune Warriors,Deccan Chargers,complete,,false
2012,43,2012-05-01,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,complete,,false
2012,44,2012-05-02,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,complete,,false
2012,45,2012-05-03,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians,Mumbai Indians,complete,,false
2012,46,2012-05-04,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,complete,,false
2012,47,2012-05-05,Eden Gardens,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,complete,,false
2012,48,2012-05-05,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,complete,,false
2012,49,2012-05-06,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,complete,,false
2012,50,2012-05-06,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,complete,,false
2012,51,2012-05-07,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,52,2012-05-08,Subrata Roy Sahara Stadium,Pune Warriors,Rajasthan Royals,Rajasthan Royals,complete,,false
2012,53,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,complete,,false
2012,54,2012-05-09,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2012,55,2012-05-10,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,complete,,false
2012,56,2012-05-10,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,complete,,false
2012,57,2012-05-11,Subrata Roy Sahara Stadium,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2012,58,2012-05-12,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,complete,,false
2012,59,2012-05-12,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,complete,,false
2012,60,2012-05-13,Sawai Mansingh Stadium,Rajasthan Royals,Pune Warriors,Rajasthan Royals,complete,,false
2012,61,2012-05-13,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,complete,,false
2012,62,2012-05-14,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,complete,,false
2012,63,2012-05-14,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,complete,,false
2012,64,2012-05-15,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,complete,,false
2012,65,2012-05-16,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,66,2012-05-17,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,complete,,false
2012,67,2012-05-17,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2012,68,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Deccan Chargers,complete,,false
2012,69,2012-05-19,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,complete,,false
2012,70,2012-05-19,Subrata Roy Sahara Stadium,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,71,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,complete,,false
2012,72,2012-05-20,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,complete,,false
2012,N/A,2012-05-22,Subrata Roy Sahara Stadium,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2012,N/A,2012-05-23,M Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,complete,,false
2012,N/A,2012-05-25,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,complete,,false
2012,N/A,2012-05-27,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,complete,,false
2013,1,2013-04-03,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,complete,,false
2013,2,2013-04-04,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,complete,,false
2013,3,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,complete,,false
2013,4,2013-04-06,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,complete,,false
2013,5,2013-04-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,complete,,false
2013,6,2013-04-07,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Kings XI Punjab,complete,,false
2013,7,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,None,tie,,false
2013,8,2013-04-08,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,complete,,false
2013,9,2013-04-09,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,complete,,false
2013,10,2013-04-09,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,complete,,false
2013,11,2013-04-10,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,complete,,false
2013,12,2013-04-11,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,complete,,false
2013,13,2013-04-11,Subrata Roy Sahara Stadium,Pune Warriors,Rajasthan Royals,Pune Warriors,complete,,false
2013,14,2013-04-12,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,complete,,false
2013,15,2013-04-13,Wankhede Stadium,Mumbai Indians,Pune Warriors,Mumbai Indians,complete,,false
2013,16,2013-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,complete,,false
2013,17,2013-04-14,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,complete,,false
2013,18,2013-04-14,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,complete,,false
2013,19,2013-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,Pune Warriors,complete,,false
2013,20,2013-04-16,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,complete,,false
2013,21,2013-04-16,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,None,tie,,false
2013,22,2013-04-17,Maharashtra Cricket Association Stadium,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,complete,,false
2013,23,2013-04-17,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,complete,,false
2013,24,2013-04-18,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,complete,,false
2013,25,2013-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,complete,,false
2013,26,2013-04-20,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,complete,,false
2013,27,2013-04-20,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,complete,,false
2013,28,2013-04-21,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,complete,,false
2013,29,2013-04-21,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Pune Warriors,Kings XI Punjab,complete,,false
2013,30,2013-04-22,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,complete,,false
2013,31,2013-04-23,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,complete,,false
2013,32,2013-04-23,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,complete,,false
2013,33,2013-04-24,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,complete,,false
2013,34,2013-04-25,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,complete,,false
2013,35,2013-04-26,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,complete,,false
2013,36,2013-04-27,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,complete,,false
2013,37,2013-04-27,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,complete,,false
2013,38,2013-04-28,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,complete,,false
2013,39,2013-04-28,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Pune Warriors,Delhi Daredevils,complete,,false
2013,40,2013-04-29,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,complete,,false
2013,41,2013-04-29,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,complete,,false
2013,42,2013-04-30,Subrata Roy Sahara Stadium,Pune Warriors,Chennai Super Kings,Chennai Super Kings,complete,,false
2013,43,2013-05-01,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,complete,,false
2013,44,2013-05-01,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,complete,,false
2013,45,2013-05-02,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,complete,,false
2013,46,2013-05-02,Subrata Roy Sahara Stadium,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2013,47,2013-05-03,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,complete,,false
2013,48,2013-05-04,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,complete,,false
2013,49,2013-05-05,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,complete,,false
2013,50,2013-05-05,Sawai Mansingh Stadium,Rajasthan Royals,Pune Warriors,Rajasthan Royals,complete,,false
2013,51,2013-05-06,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,complete,,false
2013,52,2013-05-07,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,complete,,false
2013,53,2013-05-07,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,complete,,false
2013,54,2013-05-08,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,complete,,false
2013,55,2013-05-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,complete,,false
2013,56,2013-05-09,Subrata Roy Sahara Stadium,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2013,57,2013-05-10,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2013,58,2013-05-11,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians,Mumbai Indians,complete,,false
2013,59,2013-05-11,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,complete,,false
2013,60,2013-05-12,JSCA International Stadium Complex,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,complete,,false
2013,61,2013-05-12,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,complete,,false
2013,62,2013-05-13,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,complete,,false
2013,63,2013-05-14,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,complete,,false
2013,64,2013-05-14,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,complete,,false
2013,65,2013-05-15,JSCA International Stadium Complex,Kolkata Knight Riders,Pune Warriors,Pune Warriors,complete,,false
2013,66,2013-05-15,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,complete,,false
2013,67,2013-05-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,complete,,false
2013,68,2013-05-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,complete,,false
2013,69,2013-05-18,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,complete,,false
2013,70,2013-05-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,complete,,false
2013,71,2013-05-19,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils,Pune Warriors,complete,,false
2013,72,2013-05-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,complete,,false
2013,N/A,2013-05-21,Feroz Shah Kotla,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,complete,,false
2013,N/A,2013-05-22,Feroz Shah Kotla,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,complete,,false
2013,N/A,2013-05-24,Eden Gardens,Mumbai Indians,Rajasthan Royals,Mumbai Indians,complete,,false
2013,N/A,2013-05-26,Eden Gardens,Chennai Super Kings,Mumbai Indians,Mumbai Indians,complete,,false
2014,1,2014-04-16,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2014,2,2014-04-17,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,complete,,false
2014,3,2014-04-18,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,complete,,false
2014,4,2014-04-18,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,complete,,false
2014,5,2014-04-19,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,complete,,false
2014,6,2014-04-19,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,complete,,false
2014,7,2014-04-20,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,complete,,false
2014,8,2014-04-21,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,complete,,false
2014,9,2014-04-22,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,complete,,false
2014,10,2014-04-23,Dubai International Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,complete,,false
2014,11,2014-04-24,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2014,12,2014-04-25,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,complete,,false
2014,13,2014-04-25,Dubai International Cricket Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,complete,,false
2014,14,2014-04-26,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,complete,,false
2014,15,2014-04-26,Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,complete,,false
2014,16,2014-04-27,Sharjah Cricket Stadium,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,complete,,false
2014,17,2014-04-27,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,complete,,false
2014,18,2014-04-28,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,complete,,false
2014,19,2014-04-29,Sheikh Zayed Stadium,Kolkata Knight Riders,Rajasthan Royals,None,tie,,false
2014,20,2014-04-30,Dubai International Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,complete,,false
2014,21,2014-05-02,JSCA International Stadium Complex,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,complete,,false
2014,22,2014-05-03,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,complete,,false
2014,23,2014-05-03,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,complete,,false
2014,24,2014-05-04,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,complete,,false
2014,25,2014-05-05,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,complete,,false
2014,26,2014-05-05,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,complete,,false
2014,27,2014-05-06,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,complete,,false
2014,28,2014-05-07,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2014,29,2014-05-07,Barabati Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,complete,,false
2014,30,2014-05-08,"Sardar Patel Stadium, Motera",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,complete,,false
2014,31,2014-05-09,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,complete,,false
2014,32,2014-05-10,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,complete,,false
2014,33,2014-05-10,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,complete,,false
2014,34,2014-05-11,Barabati Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,complete,,false
2014,35,2014-05-11,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,complete,,false
