POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Travis Head,14,12,4,840,81*,105.0,486,172.61,3,6,91,60
2,Virat Kohli,17,16,2,824,104,58.86,492,167.24,1,3,74,41
3,Jos Buttler,17,17,0,741,83*,43.59,429,172.57,3,6,62,43
4,Shubman Gill,17,17,1,691,104*,43.19,432,159.72,3,3,58,28
5,Sunil Narine,17,15,3,529,109,44.08,343,153.92,0,4,43,29
6,Rinku Singh,14,14,1,520,90,40.0,405,128.39,0,3,61,31
7,Yashasvi Jaiswal,17,15,1,511,84*,36.5,404,126.27,0,1,59,31
8,Heinrich Klaasen,15,15,1,501,110*,35.79,332,150.46,0,3,55,21
9,Rohit Sharma,17,16,2,500,103,35.71,392,127.54,1,2,58,38
10,Ruturaj Gaikwad,15,14,4,499,110*,49.9,352,141.52,0,1,40,27
11,Sai Sudharsan,14,14,4,488,79*,48.8,382,127.57,0,1,42,27
12,Marcus Stoinis,16,15,2,472,102*,36.31,374,125.88,0,4,43,33
13,Rishabh Pant,16,15,4,439,79*,39.91,307,142.84,0,1,43,28
14,Quinton de Kock,17,16,4,420,121*,35.0,298,140.69,0,4,34,16
15,K L Rahul,16,15,4,410,102,37.27,270,151.83,1,4,46,17
16,Faf du Plessis,17,15,4,365,75,33.18,270,135.08,0,1,32,20
17,Abhishek Sharma,14,12,0,358,77*,29.83,261,137.05,0,4,41,23
18,Shreyas Iyer,15,13,0,344,106*,26.46,223,153.76,0,4,32,15
19,MS Dhoni,14,12,1,343,96*,31.18,223,153.23,0,3,29,26
20,Dinesh Karthik,16,16,2,334,119*,23.86,264,126.46,1,3,26,25
21,Nicholas Pooran,14,12,0,332,100,27.67,249,133.06,0,4,37,14
22,Glenn Maxwell,15,14,3,324,72,29.45,229,141.39,0,3,29,20
23,Devon Conway,16,15,4,323,116*,29.36,233,138.24,1,1,29,24
24,Sanju Samson,14,12,3,319,120*,35.44,215,148.28,0,2,31,15
25,Suryakumar Yadav,16,14,2,274,75*,22.83,201,136.09,0,2,25,15
26,Hardik Pandya,16,16,1,273,88,18.2,201,135.4,0,4,28,11
27,Shivam Dube,14,12,4,260,106,32.5,189,136.92,0,1,22,18
28,Phil Salt,15,15,3,252,72*,21.0,192,130.71,0,4,20,17
