POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Jos Buttler,17,17,2,843,111*,56.2,517,162.95,3,4,90,66
2,Virat Kohli,16,14,1,668,84,51.38,417,160.0,4,8,62,51
3,Travis Head,15,15,2,619,96,47.62,390,158.39,4,8,50,40
4,Shubman Gill,15,14,1,551,123*,42.38,363,151.43,4,7,63,36
5,Faf du Plessis,15,14,4,546,88,54.6,421,129.45,0,4,61,25
6,Sanju Samson,17,17,3,525,100*,37.5,378,138.59,0,4,50,27
7,K L Rahul,14,12,4,519,85*,64.88,411,126.13,0,2,44,24
8,Nicholas Pooran,14,14,4,517,106*,51.7,363,142.09,0,2,41,23
9,Quinton de Kock,15,15,3,515,95,42.92,393,130.82,0,2,48,36
10,Rinku Singh,16,16,4,511,88*,42.58,389,131.33,1,1,44,40
11,Suryakumar Yadav,15,13,2,509,76,46.27,356,142.6,0,1,41,23
12,Ruturaj Gaikwad,17,15,1,507,106*,36.21,341,148.5,0,2,42,35
13,Dinesh Karthik,17,15,0,498,100*,33.2,332,149.62,0,4,51,26
14,Shivam Dube,17,16,0,496,113,31.0,352,140.78,1,2,44,31
15,Phil Salt,16,14,1,477,119,36.69,361,131.78,0,1,43,32
16,Glenn Maxwell,16,15,4,473,86*,43.0,335,140.99,0,1,49,20
17,Rishabh Pant,17,16,4,471,125,39.25,372,126.33,0,3,44,20
18,MS Dhoni,16,16,1,428,82*,28.53,313,136.55,0,4,41,30
19,Sai Sudharsan,16,15,2,398,120,30.62,266,149.19,0,3,42,21
20,Devon Conway,15,13,4,393,124*,43.67,259,151.19,1,4,39,25
21,Shreyas Iyer,16,16,4,393,106*,32.75,285,137.81,1,2,41,18
22,Yashasvi Jaiswal,14,13,2,383,70,34.82,299,127.86,0,3,41,17
23,Heinrich Klaasen,16,15,0,361,99,24.07,272,132.63,0,3,34,19
24,Abhishek Sharma,15,14,4,341,83*,34.1,229,148.45,0,4,28,20
25,Hardik Pandya,14,12,0,332,113*,27.67,249,133.17,0,1,31,20
26,Rohit Sharma,14,14,0,325,113,23.21,234,138.31,0,3,38,13
27,Marcus Stoinis,17,15,0,324,115*,21.6,224,144.5,0,3,27,25
28,Sunil Narine,17,15,1,299,110,21.36,234,127.64,0,1,26,18
