POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,15,14,0,829,74,59.21,562,147.41,1,4,67,54
2,Shubman Gill,15,14,0,651,84,46.5,386,168.36,4,3,64,49
3,Jos Buttler,15,14,3,605,113,55.0,401,150.55,1,8,71,27
4,Travis Head,17,16,4,601,99,50.08,386,155.49,3,8,54,40
5,Shreyas Iyer,17,17,2,549,84*,36.6,410,133.58,0,2,62,32
6,Marcus Stoinis,15,15,2,524,89*,40.31,365,143.51,0,3,61,22
7,Hardik Pandya,17,16,2,485,124,34.64,336,144.03,0,1,41,32
8,Phil Salt,17,17,3,485,122,34.64,325,149.16,0,2,57,22
9,Heinrich Klaasen,17,15,4,478,71*,43.45,379,125.93,0,2,44,30
10,Sanju Samson,15,15,3,464,70,38.67,314,147.4,1,2,38,34
11,Suryakumar Yadav,16,16,0,450,93*,28.12,296,151.79,0,2,51,30
12,K L Rahul,15,14,1,449,112,34.54,320,140.18,0,3,52,25
13,Rishabh Pant,16,14,3,448,107,40.73,302,147.96,0,2,53,26
14,Rinku Singh,15,15,4,424,79,38.55,336,126.15,0,4,45,19
15,Ruturaj Gaikwad,15,14,3,392,114*,35.64,294,133.29,1,1,33,29
16,Abhishek Sharma,17,15,0,389,104,25.93,260,149.38,0,1,43,21
17,Dinesh Karthik,14,14,1,377,109*,29.0,256,147.19,0,3,41,28
18,Sai Sudharsan,17,16,3,377,110*,29.0,286,131.73,0,3,44,21
19,Glenn Maxwell,15,13,2,357,85*,32.45,253,140.57,0,2,29,22
20,Rohit Sharma,14,14,0,345,124*,24.64,235,146.49,0,4,31,17
21,Shivam Dube,17,15,4,319,125,29.0,213,149.26,0,4,27,13
22,Faf du Plessis,14,14,1,316,82,24.31,226,139.76,0,3,29,13
23,Yashasvi Jaiswal,16,16,0,313,87,19.56,237,131.83,0,3,31,22
24,MS Dhoni,15,15,3,311,82*,25.92,247,125.82,0,2,35,14
25,Devon Conway,15,14,3,274,122*,24.91,181,150.6,0,4,28,18
26,Sunil Narine,16,15,3,261,96,21.75,195,133.22,0,3,27,16
27,Quinton de Kock,15,14,4,257,124,25.7,175,146.07,1,4,25,13
28,Nicholas Pooran,16,14,1,257,112*,19.77,170,150.61,0,4,27,15
